gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pomt2	827.1616360266923	-0.0033268139460820756	0.014711580928537228	-0.22613572003188243	0.8210958634977634	0.9277916029025688
Pon1	236.02983874425965	-0.2141158209112848	0.15011554708563032	-1.426340076482197	0.1537702016961765	0.3974298091316609
Pon2	2499.413888117491	-0.04818667416068525	0.022193032764432987	-2.171252332755089	0.029912103397929792	0.15377898518138206
Pon3	1660.6928772804192	0.07655224446442857	0.03615211141902999	2.1175041086018696	0.03421708697270267	0.16738329778115213
Pop1	293.79518300663	-0.08162636336776141	0.023858298843452058	-3.42129855541498	6.232287542941705e-4	0.012438869041939105
Pop4	440.30372816554564	-0.06962746553906925	0.02399819089835309	-2.901363099992989	0.003715430843911132	0.04083973075525739
Pop5	656.3091366294634	-0.04823756418295009	0.02879442629746856	-1.6752396343868416	0.09388722403640924	0.30137338476688325
Pop7	179.46298868304174	0.005966040776801579	0.03624455870251459	0.16460514323733963	0.8692547827248774	0.949868163488443
Popdc2	86.91263921374562	0.18487798299809252	0.08510817566863911	2.1722705432894958	0.029835262507680663	0.15359270906654693
Popdc3	32.1625042859862	0.2860577117855953	0.1683946374727513	1.6987340931915578	0.0893692965884437	0.2928243691246319
Por	3836.2843835279486	-0.09608125790472852	0.04759097908361317	-2.018896432786604	0.043497985080937815	0.19345764402316604
Porcn	197.7045831952686	-0.06254779001409777	0.044884741506716064	-1.3935201120572076	0.16346256752843993	0.4108735320249082
Postn	2896.2767683947045	-0.02453216164026762	0.04899890968941475	-0.5006675004763894	0.6166051483640373	0.8157542197449883
Pot1a	745.8522795966531	-0.024491713246455365	0.020793063364733542	-1.1778790270987674	0.23884483734978362	0.5036651494568601
Pot1b	431.7225646866268	-0.0032792892763761593	0.028746463161765327	-0.11407626941521724	0.9091773336671555	0.9654411606652837
Potefam3a	14.254503382961456	0.16965955813627387	0.14951923163424793	1.1347005751828163	0.2565007962487401	0.5232771884526939
Potefam3b	15.182103931365443	0.07106082204004643	0.17382249239060105	0.40881258266832243	0.6826772052105841	0.8559014361734493
Pou2af1	36.55753567037735	0.11145426559201385	0.14640042699546807	0.7612974079335438	0.44647944844867	0.6963899293145066
Pou2af2	18.820775770155336	-0.06842177915133364	0.12090867689320713	-0.5658963517710754	0.5714642417539503	0.7864269648102298
Pou2af3	21.623155305283476	0.07112831414607874	0.062321634306903725	1.141310155568232	0.25374087747721563	0.5203623664594433
